transformacion,motor,n_executors,mediana_segundos,speedup
T1,pandas,1,0.7727214159967843,1.0
T1,pyspark,4,17.82912390400088,0.0429307752932324
T2,pandas,1,2.3461685290021705,1.0
T2,pyspark,4,24.772192543001438,0.10211858843788289
T3,pandas,1,13.560135711995827,1.0
T3,pyspark,4,28.4488172450001,0.4675130052142362
T4,pandas,1,5.943039735997445,1.0
T4,pyspark,4,28.021786968001834,0.22274417213746078
T5,pandas,1,9.572586559006595,1.0
T5,pyspark,4,32.686153807000665,0.30130389944780617
